,FECHA (YYMMDD),HORA (HHMM),Porcentaje,Registros validados,Temperatura (°C)
16380,181216,600,68.0525,8.0,9.78772
16381,181216,700,61.8591,8.0,10.2644
16382,181216,800,67.1655,8.0,8.85851
16383,181216,900,57.3171,8.0,10.0468
16384,181216,1000,48.4786,8.0,11.8393
16385,181216,1100,38.8245,8.0,12.9384
16386,181216,1200,36.9802,8.0,13.0076
16387,181216,1300,35.7627,8.0,13.15
16388,181216,1400,35.6484,8.0,13.7992
16389,181216,1500,33.8442,8.0,14.4633
16390,181216,1600,33.1542,8.0,14.5396
16391,181216,1700,36.0166,8.0,14.2412
16392,181216,1800,41.4615,8.0,13.5729
16393,181216,1900,43.5981,8.0,12.1246
16394,181216,2000,49.2714,8.0,10.4379
16395,181216,2100,54.5822,8.0,9.41451
16396,181216,2200,58.4971,8.0,8.36407
16397,181216,2300,56.7495,8.0,7.99207
16398,181217,0,56.7853,11.0,7.32256
16399,181217,100,57.2578,11.0,6.80506
16400,181217,200,58.2277,11.0,6.26146
16401,181217,300,59.6377,11.0,5.62387
16402,181217,400,60.7142,11.0,4.9472
16403,181217,500,61.3884,11.0,4.76852
16404,181217,600,53.1883,11.0,7.19743
16405,181217,700,47.4608,11.0,8.80852
16406,181217,800,44.3357,11.0,9.95767
16407,181217,900,44.2547,11.0,10.9776
16408,181217,1000,42.012,11.0,11.9959
16409,181217,1100,40.04,11.0,13.5158
16410,181217,1200,38.674,11.0,14.0821
16411,181217,1300,38.4857,11.0,14.6696
16412,181217,1400,38.3595,11.0,14.7761
16413,181217,1500,38.1027,11.0,15.1628
16414,181217,1600,38.7526,11.0,15.1752
16415,181217,1700,41.2883,11.0,14.616
16416,181217,1800,42.8116,11.0,13.8377
16417,181217,1900,45.699,11.0,12.7894
16418,181217,2000,51.5549,11.0,10.7294
16419,181217,2100,52.6373,11.0,9.82933
16420,181217,2200,53.9764,11.0,9.22014
16421,181217,2300,56.1672,11.0,8.61263
16422,181218,0,57.9971,7.0,8.28877
16423,181218,100,60.8296,7.0,7.78754
16424,181218,200,59.4395,7.0,8.092
16425,181218,300,60.6127,7.0,7.97044
16426,181218,400,60.1435,7.0,8.25671
16427,181218,500,60.1743,7.0,8.4192
16428,181218,600,59.6609,7.0,8.90085
16429,181218,700,57.7292,7.0,9.88167
16430,181218,800,54.3636,7.0,11.0649
16431,181218,900,48.8975,7.0,13.0398
16432,181218,1000,44.5765,7.0,14.4531
16433,181218,1100,44.0543,7.0,16.1342
16434,181218,1200,44.0508,7.0,16.8641
16435,181218,1300,44.4757,7.0,17.2775
16436,181218,1400,46.5823,7.0,17.0774
16437,181218,1500,48.3777,7.0,16.7297
